vietnamese,bru,pronunciation,example_bru,example_pronunciation,example_vietnamese,source_file
Làng(bản),Vil,Vì-l,,,,Bru.txt
Lạnh,Leng,Leng,,,,Bru.txt
Lạnh,"Leng, sangễt","Leng, xa-nghẹt",,,,Bru.txt
Lành (không rách),Pắng,pắng,,,,Bru.txt
Lãnh đạo,Tayũar,tayũar,,,,Bru.txt
Lạnh tê buốt,Sa-ỡt muamual,sa-ỡt muamual,,,,Bru.txt
Lãnh tụ,Sốt put kuruang kutễq,Xuât put cu-roang cu-tẹq,,,,Bru.txt
Lãnh tụ vĩ đại,Sốt put,sốt put,,,,Bru.txt
Lào,Liau,liau,,,,Bru.txt
Lao (đgt),Palăng,palăng,,,,Bru.txt
Lảo đảo,"Pễt tễt, rachíng rachơăng","pễt tễt, rachíng rachơăng",,,,Bru.txt
Lao động,Tutáq,tutáq,,,,Bru.txt
Lát (sàn),"Alơap, chĩp","alơap, chĩp",,,,Bru.txt
Lau (chùi),Chut,Chut,,,,Bru.txt
Lau chùi,Chut pluat,Chụt ploat,,,,Bru.txt
Lau lách,Arăng lễk,arăng lễk,,,,Bru.txt
Lay,"Avứt, yứt","avứt, yứt",,,,Bru.txt
Lạy,"Kukốh, sapơah","kukốh, sapơah",,,,Bru.txt
Lay động,Rayứn,rayứn,,,,Bru.txt
Lắc đầu,Ngungứr plỡ,ngungứr plỡ,,,,Bru.txt
Lăn,Apĩl,apĩl,,,,Bru.txt
Lằn,Parluan,parluan,,,,Bru.txt
Lặn,Ngêt,Ngệt,,,,Bru.txt
Lẳng lơ,Lampơăh lampơi,lampơăh lampơi,,,,Bru.txt
Lắng nghe,Tamứng,Tà-mừng,,,,Bru.txt
Lắp,Apók,apók,,,,Bru.txt
Lần,Chữ,Chư,,,,Bru.txt
Lần,Chữ (trỗ),chữ (trỗ),,,,Bru.txt
Lần,"Chữ, taláp, trỗ","chữ, taláp, trỗ",,,,Bru.txt
Lẫn,"Khláp, klu","khláp, klu",,,,Bru.txt
Lần đầu,Mbỡiq taláp,mbỡiq taláp,,,,Bru.txt
Lẫn lộn,Klu kláp,klu kláp,,,,Bru.txt
Lập ấp,Chóh viang put,chóh viang put,,,,Bru.txt
Lập lòe,"Parchứp, plưp rapliêp","parchứp, plưp rapliêp",,,,Bru.txt
Lật lên,"Pớh, palắh achỗn","pớh, palắh achỗn",,,,Bru.txt
Lâu,Dũnh,dũnh,,,,Bru.txt
Lẩu đời,Tễ mbắq,Tê am-baq,,,,Bru.txt
Lâu lắm rồi,Dũnh lứq chơ,dũnh lứq chơ,,,,Bru.txt
Lầy,Lúq dôq dớr,lúq dôq dớr,,,,Bru.txt
Lấy,Ĩt,ĩt,,,,Bru.txt
Lẫy (đgt),Krứp,krứp,,,,Bru.txt
Lẩy bẩy,Kháng khớr,kháng khớr,,,,Bru.txt
Lầy lội,Trơam sarlốq,Trằm xar-ỉổq,,,,Bru.txt
Lầy lội,Leq deq,leq deq,,,,Bru.txt
Lẩy ra,Lir,lir,,,,Bru.txt
Lấy tiền,Ĩt práq,ĩt práq,,,,Bru.txt
Lây truyền,Tởt mprơih,Tât âm-prơih,,,,Bru.txt
Lè lưỡi,Kaláh,kaláh,,,,Bru.txt
Lèn đá,Kóh tamáu,kóh tamáu,,,,Bru.txt
Leo,Pơar,pơar,,,,Bru.txt
"Leo, trèo,lên",Chon,Chon,,,,Bru.txt
Lép,"Sica, hũat","sica, hũat",,,,Bru.txt
Lê (đi),"Hor, kukhlol","hor, kukhlol",,,,Bru.txt
Lễ án cơm mói,Cha dồiq saréh,Cha đôi xa-rẻh,,,,Bru.txt
Lê ăn cơm mới,Cha dỗi saréh,Cha đôi xa-réh,,,,Bru.txt
Lễ đám giỗ,Rapữp,rapữp,,,,Bru.txt
Lễ giết trâu cho nhà gái,Kỗl,kỗl,,,,Bru.txt
Lễ hội,Sang put,Xang put,,,,Bru.txt
Lễ hội,Kỗl rabễng,kỗl rabễng,,,,Bru.txt
Lễ hội,Kỗl rapữp,kỗl rapữp,,,,Bru.txt
Lề lối,Manták,manták,,,,Bru.txt
Lễ phong thần cho ma,Rapừp,Ra-pưp,,,,Bru.txt
Lễ tế,Tapứk,tapứk,,,,Bru.txt
Lễ vật,krỡng kia,Cơ-rong kia,,,,Bru.txt
Lệch,Pêk,pêk,,,,Bru.txt
Lên,Chỗn,chỗn,,,,Bru.txt
Lên bờ,Chỗn kóh,chỗn kóh,,,,Bru.txt
Lên núi,Chu kóh,chu kóh,,,,Bru.txt
Lên trao,Tarỗng,tarỗng,,,,Bru.txt
"Lên trao, lễ vật",Tarông,Ta-rông,,,,Bru.txt
Lênh đênh,Kukhlỗi,kukhlỗi,,,,Bru.txt
Lết,Pơti,pơti,,,,Bru.txt
Lìa,"Ta-ăh, sitáiq","ta-ăh, sitáiq",,,,Bru.txt
Lịch sử,Pựn phễn,Tấc cha,,,,Bru.txt
Liẹt sĩ,Kuai kuchĩt bốn,Coai cu-chỉt bôn,,,,Bru.txt
Liếc,Karlang,karlang,,,,Bru.txt
Liếm,Yễl,yễl,,,,Bru.txt
Liến dải,Langhoiq,langhoiq,,,,Bru.txt
Liên hoàn,Ranáq toi,ranáq toi,,,,Bru.txt
Liên hoàn,Tatáq toi,tatáq toi,,,,Bru.txt
Liền lại,"Klim, raklim","klim, raklim",,,,Bru.txt
Liên tiếp,To tĩk,to tĩk,,,,Bru.txt
Liên tục,Tỡ sapỡi,tỡ sapỡi,,,,Bru.txt
Liệt sĩ,Sốt bốn,sốt bốn,,,,Bru.txt
Lim dim,Ralíq talĩr,ralíq talĩr,,,,Bru.txt
Líu lưỡi,Ravál liêiq,ravál liêiq,,,,Bru.txt
Lo,Karơăq,karơăq,,,,Bru.txt
Lo,Parngíh,parngíh,,,,Bru.txt
"Ló ra, ló lên, hiện ra, hiện lên, xuất hiện",Palơoh,palơoh,,,,Bru.txt
Lóa,Prang prưl,prang prưl,,,,Bru.txt
"Loại, thứ",Sat,Xat,,,,Bru.txt
Loạn luân,Plĩn plák,plĩn plák,,,,Bru.txt
Loang,"Parsaiq, chơar viar","parsaiq, chơar viar",,,,Bru.txt
Loãng,"Yăh, pliau","yăh, pliau",,,,Bru.txt
Loạt xoạt,Nnơâr,nnơâr,,,,Bru.txt
Lóe,Chưp,chưp,,,,Bru.txt
Loét,Bubớk,bubớk,,,,Bru.txt
Lõi cây,Kễn,kễn,,,,Bru.txt
Lõm,Khlũn,khlũn,,,,Bru.txt
Lọn tóc,Sók tớl,sók tớl,,,,Bru.txt
Lỏng,Sarlăng,sarlăng,,,,Bru.txt
Lóng lánh,Sa-áh,sa-áh,,,,Bru.txt
Long trọng,Alíh sữp,alíh sữp,,,,Bru.txt
Lóp,Lưp,Lưp,,,,Bru.txt
Lọt,Sarlũaiq,sarlũaiq,,,,Bru.txt
Lỗ,Hăng,hăng,,,,Bru.txt
Lô vườn,Lahuô rô,lahuô rô,,,,Bru.txt
Lôi,Ti,ti,,,,Bru.txt
Lồi,Klô,klô,,,,Bru.txt
Lội,Kơaiq,kơaiq,,,,Bru.txt
Lôi kéo,Rati,rati,,,,Bru.txt
"Lối,  Đường mòn","Kluang, taluang","kluang, taluang",,,,Bru.txt
Lốm đốm,"Tambáiq báiq, blang, blauq","tambáiq báiq, blang, blauq",,,,Bru.txt
Lộn trái,Palớt lalứn,palớt lalứn,,,,Bru.txt
Lông,Sók nhĩp,sók nhĩp,,,,Bru.txt
Lồng,"Sũm, nhũm","sũm, nhũm",,,,Bru.txt
Lông mi,"Akỡr, kỡr","akỡr, kỡr",,,,Bru.txt
Lỡ ra,"Kăh lơ, kếq, katơn","kăh lơ, kếq, katơn",,,,Bru.txt
Lợi (răng),Khlánh,khlánh,,,,Bru.txt
Lợi ích,Ấk póq,Ac pỏq,,,,Bru.txt
Lợi thế,Póq ra-ữi,póq ra-ữi,,,,Bru.txt
Lợi thế,Póq sa-ữi,póq sa-ữi,,,,Bru.txt
Lơn,Alik,A-lỉc,,,,Bru.txt
Lớn,Tơăr,Tăr,,,,Bru.txt
Lợn,"Alik, aliq","alik, aliq",,,,Bru.txt
Lớn lên,Tơâr achỗn,tơâr achỗn,,,,Bru.txt
Lợn rừng,Sako ( alik kuruang),Xa-co (a-lịc cu-rocing),,,,Bru.txt
Lớp,Lữp,Lưp,,,,Bru.txt
Lợp,Sapo,sapo,,,,Bru.txt
Lớp học,Lưp riên,Lưp rỉên,,,,Bru.txt
Lớp mầm non,Lữp pluai,lữp pluai,,,,Bru.txt
Lũ,Ralôq,ralôq,,,,Bru.txt
Lũ giặc,Tỗp chơak,tỗp chơak,,,,Bru.txt
Lũ lụt,Dỡq ralôq,Đợq ra-lộq,,,,Bru.txt
Lũ lụt,Ralôq dỡq,Ra-lôq đợq,,,,Bru.txt
Lùa,Katúh,katúh,,,,Bru.txt
lúa,Saro,Xa-ro,,,,Bru.txt
Luật tục,Phễp rit .,Phep rit,,,,Bru.txt
Luật tục,Rit kuang (phễp),rit kuang (phễp),,,,Bru.txt
Lục lạc,Ariu,A-rìu,,,,Bru.txt
Lúc nào,Bo léq,Bo ỉẻ-q,,,,Bru.txt
Lùi,Karlũn,Car-ỉun,,,,Bru.txt
Lủi,"Chuchũr, puplũi","chuchũr, puplũi",,,,Bru.txt
Lùi (sắn),"Plũi, kutứm băh","plũi, kutứm băh",,,,Bru.txt
Lùm cây,Klỗm,klỗm,,,,Bru.txt
Lún,Sarlốq,sarlốq,,,,Bru.txt
Lung,Klơong,Cơ-lo ong,,,,Bru.txt
"Lung tung, bừa bãi",Tampring,tampring,,,,Bru.txt
Luộc,ớp,ớp,,,,Bru.txt
Luôn,Lơăng,lơăng,,,,Bru.txt
Luôn luôn,Mantái,mantái,,,,Bru.txt
Lút,Klứp,klứp,,,,Bru.txt
Lụt,"Lut, ralôq","lut, ralôq",,,,Bru.txt
"Luyện viết, tập viết",Riên chìk chừq,Rỉên chic chự-q,,,,Bru.txt
Lừa,"Thũ, phễq","thũ, phễq",,,,Bru.txt
Lứa (đẻ),Rơah,rơah,,,,Bru.txt
"Lửa, Đỏ lửa",Blữ,blữ,,,,Bru.txt
Lược,Nhchik,nhchik,,,,Bru.txt
Lưỡi,Liêih,liêih,,,,Bru.txt
Lưới,Aliêiq,aliêiq,,,,Bru.txt
Lưỡi câu,Pla rabáih,pla rabáih,,,,Bru.txt
Lưỡi dao,Pla achũ,pla achũ,,,,Bru.txt
Lười học,Alơah riên,A-ỉơa-h rỉên,,,,Bru.txt
Lươn,Nống,nống,,,,Bru.txt
Lượn,Yiêl,yiêl,,,,Bru.txt
Lương thực,Karơng sana,karơng sana,,,,Bru.txt
Lương thực,Krơng sana,krơng sana,,,,Bru.txt
Lưu truyền,Táh doq,táh doq,,,,Bru.txt
Lưu truyền,Táq doq,táq doq,,,,Bru.txt
Ma,Kumuiq,kumuiq,,,,Bru.txt
Mà,Mắq,mắq,,,,Bru.txt
Mả,Ping,ping,,,,Bru.txt
Má,Tamễng,tamễng,,,,Bru.txt
Mạ,Maq,maq,,,,Bru.txt
Ma lai,Panơah,panơah,,,,Bru.txt
Ma quỷ,Panơah alơâng,panơah alơâng,,,,Bru.txt
Mạch máu,Kansái aham,kansái aham,,,,Bru.txt
Mài,Kit,kit,,,,Bru.txt
Mãi,Ník,ník,,,,Bru.txt
Mai (cây),Tabong tak,tabong tak,,,,Bru.txt
Mai (rùa),Ndăh,ndăh,,,,Bru.txt
Mái chèo,"Sava tuôk, vah tuôh","sava tuôk, vah tuôh",,,,Bru.txt
Mái hồi,Piang,piang,,,,Bru.txt
Mái nhà,Pa,pa,,,,Bru.txt
Mai sau,Nỡ ra,nỡ ra,,,,Bru.txt
Màn,Múng,múng,,,,Bru.txt
"Màn, (mung).",Múng (atúq),Mùng (a-tủ-q),,,,Bru.txt
Mang,Dũng ..,Đưng,,,,Bru.txt
Mảng (dt),"Pê, ra-áu","pê, ra-áu",,,,Bru.txt
Máng (lợn),Tapuang,tapuang,,,,Bru.txt
Mang đi,Dững,dững,,,,Bru.txt
Mang lại,Dừng atơâq,Đưng a-tâq,,,,Bru.txt
Máng nước,Santuang,santuang,,,,Bru.txt
Mạng nhện,sỗh apiang,Xô-h a-pỉang,,,,Bru.txt
Mang quần (nam giới),Dăng,dăng,,,,Bru.txt
"Mang vào, mặc vào (phụ nữ)",Sakât,sakât,,,,Bru.txt
Mang về,Dững achu,dững achu,,,,Bru.txt
Mảnh,Mễng,mễng,,,,Bru.txt
Mạnh,Bánh,Banh,,,,Bru.txt
Mạnh,Rêng,rêng,,,,Bru.txt
Mạnh dạn,Mứt kơang,mứt kơang,,,,Bru.txt
Mạnh khỏe,Bánh rêng,Banh rêng,,,,Bru.txt
Mào gà,Sambĩr,sambĩr,,,,Bru.txt
Mát,Lahơi,lahơi,,,,Bru.txt
Mát mẻ,Lahơi latơăh,La-hơi la-tắh,,,,Bru.txt
Mát mẻ,Lahỡi latơăh,La-hơi la-tăh,,,,Bru.txt
Mau,Ẻng,Eng,,,,Bru.txt
Màu,Ễng,Êng,,,,Bru.txt
Màu,"Santứm, ễng","santứm, ễng",,,,Bru.txt
Máu,Aham,aham,,,,Bru.txt
Màu đen,Eng kũm,Eng cum,,,,Bru.txt
Màu đen,Ệng kũm,Eng cum,,,,Bru.txt
Màu đỏ,Ẹng kusáu,Eng cu-xau,,,,Bru.txt
Màu đỏ,Ễng kusáu,Eng cu-xau,,,,Bru.txt
Màu mỡ,O pahuôr,0 pa-huôr,,,,Bru.txt
Màu mỡ,Pahuôr,pahuôr,,,,Bru.txt
"Màu nhiệm, hiệu nghiệm",Blễng,blễng,,,,Bru.txt
Mau quên,Chái khlĩr,Chay kh-li-r,,,,Bru.txt
Màu sắc,Ễng ralưong,Eng ra-lương,,,,Bru.txt
Màu sắc,Ễng Ralương,ễng ralương,,,,Bru.txt
Màu tím,Ễng trứm trúc,Eng trừm trúc,,,,Bru.txt
Mau trắng,Êng klok,Eng cơ-ỉoc,,,,Bru.txt
Màu vàng,Ễng rariaq,Eng ra-rỉạ-q,,,,Bru.txt
Màu xanh,Ễng ramơong,Eng ra-mong,,,,Bru.txt
Màu xanh đen,Eng ralương kũm,Eng ra-lương cum,,,,Bru.txt
"Mau, chóng",Chái,Chay,,,,Bru.txt
May,Yĩh,Dỉh,,,,Bru.txt
Máy bay,Sễ par,sễ par,,,,Bru.txt
Máy lửa,Dễk,dễk,,,,Bru.txt
May mặc,Yìh tâmpắk,Td-h tâm-pắc,,,,Bru.txt
May mắn,Bốn nhưn,bốn nhưn,,,,Bru.txt
May vá,Yuyĩh,yuyĩh,,,,Bru.txt
"Mày,  Anh, chị",Mơâi,mơâi,,,,Bru.txt
Măc,Sớp,Xâp,,,,Bru.txt
Mặc (váy),Sakát,sakát,,,,Bru.txt
Mặc áo,Sớp au,sớp au,,,,Bru.txt
Mắc bẫy,Chuat,chuat,,,,Bru.txt
Mắc bệnh,Tót mprơih,Tất âm-prơỉh,,,,Bru.txt
Mắc kẹt,Kál,kál,,,,Bru.txt
Mặc khố,Kaklai,kaklai,,,,Bru.txt
Mặc vào,"Sớp, sakât, tắk, dăng","Xâp, xa-cât, tắc, đãng",,,,Bru.txt
Mắng,Katâu,katâu,,,,Bru.txt
Mắng nhau,Kartâu,kartâu,,,,Bru.txt
Mắt,Mơat,mơat,,,,Bru.txt
Mặt,Miêiq,miêiq,,,,Bru.txt
Mắt cá,Mơat kaq,mơat kaq,,,,Bru.txt
Mắt lẹo,Kutĩu,kutĩu,,,,Bru.txt
Mặt mũi,Mơat múh,Mặt mú-h,,,,Bru.txt
Mặt trời,Man dang,man dang,,,,Bru.txt
Mặt trời,Mơat mandang,mơat mandang,,,,Bru.txt
Mặt trời lặn,Mandang pát,mandang pát,,,,Bru.txt
Mặt trời mọc,Mandang lơăh,mandang lơăh,,,,Bru.txt
Mâm,Padiên,padiên,,,,Bru.txt
Mầm,Padốh amơat,padốh amơat,,,,Bru.txt
Mâm xôi,Bráiq,bráiq,,,,Bru.txt
Mập,Nứn,nứn,,,,Bru.txt
Mấp mé,Mơk mơk,mơk mơk,,,,Bru.txt
Mật,Mứt,mứt,,,,Bru.txt
Mất hướng,Pứt angia,pứt angia,,,,Bru.txt
Mật ong,"Dỡq khĩal, dỡq krot","dỡq khĩal, dỡq krot",,,,Bru.txt
"Mất,  Biến mất",Pứt,pứt,,,,Bru.txt
Mẩu,Plĩh,plĩh,,,,Bru.txt
Mấu,Kanăq,kanăq,,,,Bru.txt
Mẫu mực,Táq ngôl,táq ngôl,,,,Bru.txt
Mây,Ramứl,ramứl,,,,Bru.txt
Mấy (bao nhiêu),Sếq,sếq,,,,Bru.txt
Mây (cây),Karái,karái,,,,Bru.txt
Mây đen,Ramứl kũm,Ra-mưỉ cum,,,,Bru.txt
"Mấy, bao nhiêu",Máh léq,Mả-h ỉẻ-q,,,,Bru.txt
Mẻ,Sakiah,sakiah,,,,Bru.txt
Me (cây),Mpứl,mpứl,,,,Bru.txt
Mẹ ghẻ,Mpiq kỗiq,mpiq kỗiq,,,,Bru.txt
Mẹ vợ,"Kuyaq kán, ayaq kán","kuyaq kán, ayaq kán",,,,Bru.txt
"Mẹ, má",Mpiq,Am-pị-q,,,,Bru.txt
Mèo,Mễu,Mêu,,,,Bru.txt
Méo,Biêu,biêu,,,,Bru.txt
Méo mó,Rabep rabop,rabep rabop,,,,Bru.txt
Mèo rừng,Mễu kuruang,mễu kuruang,,,,Bru.txt
Mép,Bễk,bễk,,,,Bru.txt
Mét,Mễt,mễt,,,,Bru.txt
Mề gà,Dâl,dâl,,,,Bru.txt
Mê tín dị đoan,Sa-âm kuko,Xa-âm cu-co,,,,Bru.txt
Mềm,"Labớt, lamên","labớt, lamên",,,,Bru.txt
Mệt,Lakéh,lakéh,,,,Bru.txt
Mí mắt,Akỡr mơat,akỡr mơat,,,,Bru.txt
Mía,Katau,katau,,,,Bru.txt
Mía,Kutau,kutau,,,,Bru.txt
Miễn phí,Chỗi práq,chỗi práq,,,,Bru.txt
Miền Trung,Mpứng kuruang,mpứng kuruang,,,,Bru.txt
Miệng,Bỗq,bỗq,,,,Bru.txt
Miếng (thịt),"Khlễk, mễng","khlễk, mễng",,,,Bru.txt
Miếng (trầu),Tảuiq,tảuiq,,,,Bru.txt
Miệng nói,Bỗ pai,bỗ pai,,,,Bru.txt
Miếng vá,Ramơal,ramơal,,,,Bru.txt
Miết,"Akit, sapũt","akit, sapũt",,,,Bru.txt
Miệt mài,Ngit nguôi,ngit nguôi,,,,Bru.txt
Mím môi,Kubĩm,kubĩm,,,,Bru.txt
Minh chứng,Tếk rưp,tếk rưp,,,,Bru.txt
Mít,Panaíh,panaíh,,,,Bru.txt
Mò,Chucchơr,chucchơr,,,,Bru.txt
Mõ,Atỗk,atỗk,,,,Bru.txt
Mỏ (chim),"Rambăh, rabăh","rambăh, rabăh",,,,Bru.txt
Mõ trâu,Ralăng,ralăng,,,,Bru.txt
Mo tre,Sarlai abáng,sarlai abáng,,,,Bru.txt
Moc,Hon,Hon,,,,Bru.txt
Mọc,"Hon, cháh","hon, cháh",,,,Bru.txt
Móc (dt),Bĩu,bĩu,,,,Bru.txt
Móc (đgt),Kăq,kăq,,,,Bru.txt
Moi,Kai,kai,,,,Bru.txt
Mỏi,Lakiêi,lakiêi,,,,Bru.txt
Mọi mặt,Ku ắk,ku ắk,,,,Bru.txt
Mỏi mệt,Lakéh lakiêi,La-kẻh ỉa-kiêi,,,,Bru.txt
Mọi người,Ku náq,ku náq,,,,Bru.txt
Mõm chó,Bũaq,bũaq,,,,Bru.txt
Mòn,Kloiq,kloiq,,,,Bru.txt
Món cá,Raveh sĩaq,Ra-veh xịaq,,,,Bru.txt
Món thịt bò,Raveh sâiq ntrơăq,Ra-veh xậiq ân-trỏq,,,,Bru.txt
Món thịt heo,Raveh sâiq alik,Ra-veh xậiq a-ỉịc,,,,Bru.txt
Mong,"Ngkuang, apơan","ngkuang, apơan",,,,Bru.txt
Mỏng,Kada,kada,,,,Bru.txt
Mong muốn,Yok nekuang,Doc ưng-coang,,,,Bru.txt
"Móng,  Vuốt (hổ..)",Karễh,karễh,,,,Bru.txt
Mọt,Kumot,kumot,,,,Bru.txt
Mót lúa,Muat,muat,,,,Bru.txt
Mồ hôi,Nnứh pahũr,nnứh pahũr,,,,Bru.txt
Mổ ra,"Tot, cheh","tot, cheh",,,,Bru.txt
Mốc,Môk,môk,,,,Bru.txt
Mộc nhĩ,Ntriaq tớr,ntriaq tớr,,,,Bru.txt
Môi,Tambớr,tambớr,,,,Bru.txt
Mồi,Parán,parán,,,,Bru.txt
Mối,Kumũar,kumũar,,,,Bru.txt
Mối cánh,Tamblươk,tamblươk,,,,Bru.txt
Môi trường,Tanơah ỡt cha,Ta-náh ơt cha,,,,Bru.txt
Môi trường,Tanơanh ỡt cha,tanơanh ỡt cha,,,,Bru.txt
Môn,Sat riên,Xat rỉên,,,,Bru.txt
Môn địa lý,Sat riên kutễq yiang tễng,Xat rỉên cu-tệ-q dỉang têng,,,,Bru.txt
Môn lịch sử,Sat riên pun phễn,Xat rỉên pưn phên,,,,Bru.txt
Môn lịch sử,Sat riên tếk pưn phễn,Xat rỉên tếc pưn phen,,,,Bru.txt
Môn toán,Sat riên kupéh,Xat riên cu-pẻ-h,,,,Bru.txt
Môn thể dục,Sat ariên ayiat abot,Xat a-riên a-diat a-bot,,,,Bru.txt
Môn thể dục,Sat riên táq ayiat abot,Xat rỉên tả-q a-dỉat a-bot,,,,Bru.txt
Môn thê thao,Sat ariên ralong,Xat a-riên raỉong,,,,Bru.txt
Mông,"Púng pang, ayúl","púng pang, ayúl",,,,Bru.txt
Mốt,Pra,Pờ-ra,Kũai prơai tal sarái tâng katữ léq,Coai pray taỉ xa-ray tâng ca-tư ỉẻq ?,Người dân phát rẫy vào mùa nào ?,Bru.txt
Một,Muôi,Muôi,Kứq kanỡt kumo 2001.,Cử-q ca-nơt cu-mo bar nghìn muôi,Em sinh năm 2001.,Bru.txt
Một,Mansễm,Muôi,,,,Bru.txt
Môt bó,Muôi boq,Muôi boq,,,,Bru.txt
Mồt cái,Mu lám,Mu ỉăm,,,,Bru.txt
Một cây,Mutreh,Mu treh,,,,Bru.txt
Một chiều,Mu hũat,mu huat,,,,Bru.txt
Một chốc nữa,Ngkếq,ngkếq,,,,Bru.txt
Một lát,Mu sarắq,mu sarắq,,,,Bru.txt
Một loại áo nữ,Sanún,sanún,,,,Bru.txt
Một lòng,Muôi púng,muôi púng,,,,Bru.txt
Một mình,ống muôi náq,ống muôi náq,,,,Bru.txt
Một nửa,Muôi saráh,muôi saráh,,,,Bru.txt
Một nghìn lẽ một,Mu ngin muôi,Mù ngin muôi,,,,Bru.txt
Một nghìn một trăm,Mu ngin mu kulám,Mù nghìn mu cu-lăm,,,,Bru.txt
Một người,Mu náq,mu náq,,,,Bru.txt
Một trăm,Mu kulám,Mù kulám,Mu kulám bar chứt ngin,mu cu-ỉãm bar chứt nghìn,Một trăm hai muoi nghìn,Bru.txt
Một trăm lẽ một,Mu kulám mu,Mù kulám mu,,,,Bru.txt
Một triệu,Mu triễu,Mù triêu,,,,Bru.txt
Mơ,"Láu páu, mpáu","láu páu, mpáu",,,,Bru.txt
Mở,Pớh,Pớ-h,,,,Bru.txt
Mỡ,Nsễng,ần xeeng,,,,Bru.txt
Mợ,Kũq kán,cú căn,,,,Bru.txt
Mở đất,Pớh ranáq,pớh ra nả,,,,Bru.txt
Mờ mắt,Sỡm,xơm,,,,Bru.txt
Mời,"Chơn, mơi","chơn, mời",,,,Bru.txt
Mới,"Mbỡiq, tamái","ầm bới, ta may",,,,Bru.txt
Mới có thể,Nơâq,nơâq,,,,Bru.txt
Mới lạ,Bỡiq liaq,bới líaq,,,,Bru.txt
Mớm (cơm..),Bũm,bum,,,,Bru.txt
Mù,Sũt,xút,,,,Bru.txt
Mủ,Panúng,pa nùng,,,,Bru.txt
Mũ,Muôk,muồc,,,,Bru.txt
Mua,Chòng,Chơng,,,,Bru.txt
Mua,Chõng,chơng,,,,Bru.txt
Mua,Chỡng,Chong,,,,Bru.txt
Mùa,Katữ,Ca-tư,,,,Bru.txt
Múa,Puan,Poan,,,,Bru.txt
Múa,"Ayữn, puan","a dữn, poàn",,,,Bru.txt
Mua (cây),Chik kachik,chifc ca chìc,,,,Bru.txt
Mùa đông,Katữ leng sangễt,Ca-tư leng xa-nghệt,,,,Bru.txt
Mùạ đông,Katừ leng sangễt,Ca-tư leng xa-nghệt,,,,Bru.txt
Mùa hạ,Katữ phũak kutâu,Ca-tưphoảc cu-tâu,,,,Bru.txt
Mùa khô,Katữ kaheng,Ca-tư ca-heng,,,,Bru.txt
Múa võ,Liauq,liauq,,,,Bru.txt
Múc,"Ăh, puôk","ăh, puồc",,,,Bru.txt
Mùi,Hỡi,hơơi,,,,Bru.txt
Mũi,Múh,múh,,,,Bru.txt
Múi,"Kakĩu, nsĩu","ca ciu, ần siu",,,,Bru.txt
Mũi cao,Múh dỗih,mush đỗih,,,,Bru.txt
Mùi cơm,Hũl dỗi,hũl đôi,,,,Bru.txt
Mũi dao,Pỗi,pôi,,,,Bru.txt
Mũi tên,Saráh,xa ráh,,,,Bru.txt
Mũi thấp,Múh sapễt,mush xa pệt,,,,Bru.txt
Mũi thuyền,Plỡ tuôk,plỡ tuồc,,,,Bru.txt
"Mủng,  Thúng",Thống,thôông,,,,Bru.txt
Muỗi,Anhuaq,a nhóa,,,,Bru.txt
Muối,Boi,boi,,,,Bru.txt
Muỗi đốt,Anhuaq (rayơong) káp,A-nhoaq (ra-dong) cặp,,,,Bru.txt
Muỗm (cây),Pakơăng,pa cơng,,,,Bru.txt
Muỗm (con),Lam sarlôi,lăm saruôi,,,,Bru.txt
Muôn,Éq,ee-q,,,,Bru.txt
Muốn,Ềq,Ẹ-q,,,,Bru.txt
Muốn,Yok,Doc,,,,Bru.txt
Muôn đời,Ku thũal,cu thũal,,,,Bru.txt
Mút cơm,Yũiq,dụui,,,,Bru.txt
"Mút, Hút (nước)",Yók,zdọc,,,,Bru.txt
Mưa,Mia,Mia,,,,Bru.txt
Mực,"Mứk, santứm",sa từm,,,,Bru.txt
Mừng,Ỡnh,ơơn,,,,Bru.txt
Mừng chào đời,Mơng mơat,mờng mằt,,,,Bru.txt
Mưng mủ,Pachóng,pa chông,,,,Bru.txt
Mười,Mu chứt,Mù chứt,Kứq mu chứt labar chô kumo,Cư-q mu chưt ỉa-ba-r chô cu-mo,Em được mười hai tuổi,Bru.txt
Mười,Mu chút,Mu chưt,,,,Bru.txt
Mười ba,Mu chứt lapai,Mù chứt lapay,,,,Bru.txt
Mười bảy,Mu chứt Tapul,Mù chứt Tapul,Tơâq tapul yơ tarưp nơ !,Tầq ta-puỉ giờ ta-rưp nơ Ị,Bảy giờ sáng nhé !,Bru.txt
Mười bốn,Mu chứt lapỗn,Mù chứt lapỗn,,,,Bru.txt
Mười chính,Mu chứt Takêh,Mù chứt Takêh,,,,Bru.txt
Mười hai,Mu chứt labar,Mù chứt labar,Kứq mu chứt labar chô kumo,Cư-q mu chưt ỉa-ba-r chô cu-mo,Em được mười hai tuổi,Bru.txt
Mười lăm,Mu chứt lasỡng,Mù chứt laxỡng,Sanua nái muôi kilôgam ắk kuphê kháu bun chiaq lasỡng ngin praq,Xa-nua nay muối kilôgam ắc cu-phê cơ-lau bun chiaq la sỡng nghin cờ-rản,Hiện nay một kg hạt cà phê tươi có giá là năm nghìn đồng,Bru.txt
Mười một,Mu chứt  lamuôi,Mù chứt  lamuôi,,,,Bru.txt
