vietnamese,bru,pronunciation,example_bru,example_pronunciation,example_vietnamese,source_file
Rơi,Sitơoh,xi toh,,,,Bru.txt
"Rời đi,  Chuyển (nhà)",Dễq,đếh,,,,Bru.txt
Rời khỏi Bỏ nhau Giải tán,Ratáh,ra táh,,,,Bru.txt
Rơi xuống,Sarũôi,xa ruôi,,,,Bru.txt
Ru,Ayưn,a dưn,,,,Bru.txt
Rủ,dững,đưưng,,,,Bru.txt
Rủ (bụi),"Tapóh, tutốh","tapóh, tutốh",,,,Bru.txt
"Rú non, rừng tái sinh",Arưih,a rưih,,,,Bru.txt
Rủ nhau,Radững,ra đưưng,,,,Bru.txt
Rùa,"Tamũm, pĩt","ta mun, pit",,,,Bru.txt
Rùa,Ruiq/,"rúih, ta pa",,,,Bru.txt
Run,Kangkơaih,câng cáyh,,,,Bru.txt
Rung,Akứr,Akứr,,,,Bru.txt
Rụng,Saruôi,xa ruôi,,,,Bru.txt
Rụng (răng),Klăh,cơ lơah,,,,Bru.txt
Rung đùi,Kangkơaih lũ,câng cáyh lu,,,,Bru.txt
Ruồi,Ruai,Roài,,,,Bru.txt
Ruồi trâu,Achuap,a choáp,,,,Bru.txt
Ruộng,"Ruang, nia","Roang, nia",,,,Bru.txt
Ruộng nước,Nia dỡq,Nia đợq,,,,Bru.txt
Ruột,Ruaiq,roáih,,,,Bru.txt
Ruột già,"Ruaiq krương, ruaiq dớt","roáih ca rương, roáih đớt",,,,Bru.txt
Ruột non,Ruaiq nhuam,roáih nhoàm,,,,Bru.txt
Rút đi,Karlũn chíq,kar lun chỉh,,,,Bru.txt
Rút lại,Kurớn,cu rân,,,,Bru.txt
Rửa,Ariau,A-riau,,,,Bru.txt
Rửa chân,Sarơah ayưng,Xa-rah a-dưng,,,,Bru.txt
Rửa mặt,Kulĩaq mơat,Cù-lỉa-q mơat,,,,Bru.txt
Rửa sạch,Ariau bráh,A-riau bráh,,,,Bru.txt
Rừng,Sarứng,xa rừng,,,,Bru.txt
Rừng đại ngại,Pa sarứng,pa xa rừng,,,,Bru.txt
Rừng già,Sarứng ria,xa rừng ría,,,,Bru.txt
Rừng núi,Sarứng kóh,xa rừng kóh,,,,Bru.txt
Rừng rực,Luanh luanh,luan luan,,,,Bru.txt
Rừng trồng,Sarứng aluang chóh,xa rừng a luang chóh,,,,Bru.txt
Rước dâu,Rakơâiq,Ra-cậy-q,,,,Bru.txt
Rướn cổ,Tangon,ta ngon,,,,Bru.txt
Rượu bia,Blắng bia,bơ lăng bia,,,,Bru.txt
Rượu cần,Blăng khang,Blăng khang,,,,Bru.txt
Rứt,Katớq,ca tở,,,,Bru.txt
Sả,Tavễl,ta vễl,,,,Bru.txt
